Frame,Hand,Landmark,X,Y,Z
10,Left,0,0.1602616161108017,1.0452464818954468,6.22679124262504e-07
10,Left,1,0.22485283017158508,1.0100150108337402,-0.040328171104192734
10,Left,2,0.2733885943889618,0.9320514798164368,-0.06001316010951996
10,Left,3,0.29227393865585327,0.8567252159118652,-0.07500386983156204
10,Left,4,0.28994959592819214,0.788271963596344,-0.09033285081386566
10,Left,5,0.21672603487968445,0.8109554052352905,-0.0385507270693779
10,Left,6,0.22421866655349731,0.7192336320877075,-0.06848570704460144
10,Left,7,0.23053181171417236,0.659615159034729,-0.09258163720369339
10,Left,8,0.23833221197128296,0.6084638833999634,-0.10774698853492737
10,Left,9,0.17258869111537933,0.8081766963005066,-0.03408048301935196
10,Left,10,0.18001392483711243,0.7116824388504028,-0.05785202607512474
10,Left,11,0.1877812296152115,0.6469864845275879,-0.07714919000864029
10,Left,12,0.19875556230545044,0.5903706550598145,-0.09070764482021332
10,Left,13,0.13214175403118134,0.8276845812797546,-0.03432519733905792
10,Left,14,0.13349470496177673,0.7354564070701599,-0.05624046176671982
10,Left,15,0.1412571370601654,0.6748276352882385,-0.06780266016721725
10,Left,16,0.1538183093070984,0.6215094923973083,-0.07516463845968246
10,Left,17,0.09446921199560165,0.8669768571853638,-0.03834129124879837
10,Left,18,0.09146970510482788,0.7930868268013,-0.05730603635311127
10,Left,19,0.09936659783124924,0.7454847693443298,-0.0630628690123558
10,Left,20,0.1127704530954361,0.7041220664978027,-0.06544504314661026
11,Left,0,0.20701280236244202,1.004428505897522,6.604330451409623e-07
11,Left,1,0.27113330364227295,0.9566365480422974,-0.023514168336987495
11,Left,2,0.31434330344200134,0.8591169118881226,-0.027114249765872955
11,Left,3,0.32991325855255127,0.7761305570602417,-0.029492152854800224
11,Left,4,0.3294849991798401,0.7090872526168823,-0.031189002096652985
11,Left,5,0.2600116729736328,0.7398512363433838,-0.004037040751427412
11,Left,6,0.26852351427078247,0.6458244919776917,-0.02037445455789566
11,Left,7,0.2754472494125366,0.582158088684082,-0.036413226276636124
11,Left,8,0.28325170278549194,0.5276526212692261,-0.04705598205327988
11,Left,9,0.2198704481124878,0.7319357395172119,-0.0051869116723537445
11,Left,10,0.22578464448451996,0.6284307241439819,-0.01773119531571865
11,Left,11,0.23624832928180695,0.560674250125885,-0.03247659280896187
11,Left,12,0.251108855009079,0.5025036931037903,-0.04232257604598999
11,Left,13,0.1820269674062729,0.7427620887756348,-0.01069894153624773
11,Left,14,0.1872578263282776,0.6445935368537903,-0.026102310046553612
11,Left,15,0.19994281232357025,0.5803370475769043,-0.03832855820655823
11,Left,16,0.2166534811258316,0.5262349843978882,-0.04553556069731712
11,Left,17,0.1436002403497696,0.7734183669090271,-0.01886528730392456
11,Left,18,0.1462925225496292,0.6912587881088257,-0.03356165438890457
11,Left,19,0.15520721673965454,0.6402405500411987,-0.03863229975104332
11,Left,20,0.1696273386478424,0.5955557823181152,-0.04023444280028343
12,Left,0,0.22261717915534973,0.983439564704895,4.903758963337168e-07
12,Left,1,0.2879607677459717,0.9339133501052856,-0.01860533095896244
12,Left,2,0.3283478915691376,0.8247888684272766,-0.0187943447381258
12,Left,3,0.34302565455436707,0.7423158884048462,-0.01861405000090599
12,Left,4,0.34431391954421997,0.6793018579483032,-0.01763867773115635
12,Left,5,0.27482473850250244,0.7099053263664246,0.0027025577146559954
12,Left,6,0.28293782472610474,0.6129764318466187,-0.011588201858103275
12,Left,7,0.29366469383239746,0.5542973279953003,-0.026205386966466904
12,Left,8,0.30478209257125854,0.5057703256607056,-0.036084774881601334
12,Left,9,0.23739008605480194,0.7025409936904907,-0.0003075285640079528
12,Left,10,0.24550724029541016,0.593639075756073,-0.01189231313765049
12,Left,11,0.2595759928226471,0.5249885320663452,-0.0253271646797657
12,Left,12,0.2752000689506531,0.467983216047287,-0.03447435796260834
12,Left,13,0.20160256326198578,0.7130705118179321,-0.007963019423186779
12,Left,14,0.20685428380966187,0.6046074628829956,-0.021416915580630302
12,Left,15,0.2203143984079361,0.5373693108558655,-0.0326215997338295
12,Left,16,0.2367086410522461,0.4810280501842499,-0.03984006494283676
12,Left,17,0.16493651270866394,0.7399575710296631,-0.0181781817227602
12,Left,18,0.16725531220436096,0.6547354459762573,-0.031213095411658287
12,Left,19,0.1774844080209732,0.5988185405731201,-0.03674745187163353
12,Left,20,0.19223836064338684,0.5479750633239746,-0.03972455859184265
13,Left,0,0.224416121840477,0.9900391697883606,4.16420192550504e-07
13,Left,1,0.2899315059185028,0.9351574182510376,-0.02086719498038292
13,Left,2,0.33007097244262695,0.8254655599594116,-0.022014528512954712
13,Left,3,0.3467540442943573,0.7422097325325012,-0.0229362603276968
13,Left,4,0.3445352613925934,0.6760991811752319,-0.023029543459415436
13,Left,5,0.27850550413131714,0.7083150148391724,0.004349442198872566
13,Left,6,0.2856431305408478,0.6127864718437195,-0.011551067233085632
13,Left,7,0.2946840524673462,0.5552589893341064,-0.028004972264170647
13,Left,8,0.30407920479774475,0.5055083632469177,-0.03983423486351967
13,Left,9,0.23935900628566742,0.7003358006477356,0.00054853007895872
13,Left,10,0.24651283025741577,0.5932821035385132,-0.012784779071807861
13,Left,11,0.2591060400009155,0.525850236415863,-0.027982821688055992
13,Left,12,0.2739380896091461,0.4646722972393036,-0.039086539298295975
13,Left,13,0.20192638039588928,0.7120663523674011,-0.008821194991469383
13,Left,14,0.2071213573217392,0.6079260110855103,-0.02445509098470211
13,Left,15,0.22191593050956726,0.54124915599823,-0.03740526735782623
13,Left,16,0.24055010080337524,0.48135140538215637,-0.046257175505161285
13,Left,17,0.16461710631847382,0.7410213947296143,-0.021202320232987404
13,Left,18,0.16617421805858612,0.6581058502197266,-0.036089152097702026
13,Left,19,0.1770033836364746,0.6048502326011658,-0.04317718371748924
13,Left,20,0.19318494200706482,0.554733157157898,-0.04788772761821747
14,Left,0,0.25202977657318115,0.9560905694961548,3.870255511628784e-07
14,Left,1,0.3171588182449341,0.8989018201828003,-0.010646883398294449
14,Left,2,0.3544498085975647,0.7877780199050903,-0.00650368444621563
14,Left,3,0.3689965307712555,0.7107669711112976,-0.00446249358355999
14,Left,4,0.3649464547634125,0.6492184996604919,-0.0015335301868617535
14,Left,5,0.3018109202384949,0.6744949817657471,0.018192561343312263
14,Left,6,0.311046838760376,0.5838737487792969,0.0072923703119158745
14,Left,7,0.3223941922187805,0.5294321775436401,-0.006174967624247074
14,Left,8,0.3331778049468994,0.4830002188682556,-0.015866588801145554
14,Left,9,0.26711541414260864,0.6650756001472473,0.010756044648587704
14,Left,10,0.2753315567970276,0.5591976046562195,0.002127524232491851
14,Left,11,0.2892822027206421,0.49454405903816223,-0.010443025268614292
14,Left,12,0.3035848140716553,0.43976935744285583,-0.01944362185895443
